comb_name,amount
ROYAL_FLUSH,92
STRAIGHT_FLUSH,810
FOUR_OF_KIND,7099
FULL_HOUSE,81738
FLUSH,100685
STRAIGHT,177433
THREE_OF_KIND,359570
TWO_PAIRS,1244096
ONE_PAIR,4780952
ACE_KING,633677
HIGH_CARD,2613848
