comb_name,amount
ROYAL_FLUSH,188
STRAIGHT_FLUSH,1656
FOUR_OF_KIND,14664
FULL_HOUSE,165984
FLUSH,205792
STRAIGHT,361620
THREE_OF_KIND,732160
TWO_PAIRS,2532816
ONE_PAIR,9730740
ACE_KING,1290420
HIGH_CARD,5322480
